pval	A	s.t..oConditionAKI	s.t..oConditionRef	gene	fdr
1.12756180680042e-234	0.104650220048994	0	0	A1CF	3.49420128309381e-230
7.53705650462453e-26	0.0320899894030832	0.000186255359088394	0.00151227264768078	AAGAB	2.01533353877155e-21
2.67497768304677e-131	0.198601194821891	0	0	AAK1	8.12417472118135e-127
1.20010333717244e-217	0.106392447307775	0	0	AASS	3.71107954953835e-213
1.10610468155167e-21	0.0435605183396035	0.00189944231838091	0.0684260615503909	AATF	2.89467595162071e-17
3.81381165601366e-280	0.163798896489087	0	0	ABAT	1.18701073981769e-275
5.89311574299535e-14	0.0257893472293495	0	0	ABCA1	1.45123868287003e-09
5.15129581536941e-140	0.0229934743921209	0	0	ABCA12	1.56898167944521e-135
2.58945758812842e-156	0.0369384345120731	0	0	ABCA13	7.91571290114977e-152
5.33249622108985e-16	0.0365496484051381	0.00100667093242846	0	ABCA5	1.33984300051104e-11
4.13684433899676e-27	0.0230666217010108	0.00040341082120976	0	ABCA7	1.11173554766199e-22
4.7089951019581e-238	0.142951769369887	0	0	ABCB1	1.45969430170497e-233
0	0.115423992697391	1.59421742564891e-05	0	ABCC1	0
0	0.219646691903786	9.71254356590956e-05	1.37432005675731e-06	ABCC2	0
1.51701801057506e-288	0.21846996530067	0	0	ABCC3	4.72460089213497e-284
0	0.267773356581376	0	0	ABCC4	0
3.13400918547398e-21	0.0237965826812201	2.94408784651257e-06	2.12421308776745e-05	ABCC5	8.17945057316854e-17
1.95350716066731e-214	0.156179888563735	0	0	ABCC6	6.03829063362266e-210
1.65975399596039e-35	0.0132045242305838	0	0.403803820854918	ABCC9	4.59635674101311e-31
3.12210463030731e-46	0.085768063492634	0	0	ABCD3	8.87052367562914e-42
7.18894902354589e-32	0.0202990084684803	0.00214193987871464	0	ABHD11	1.96984392194181e-27
3.34994663224297e-77	0.0320160216353299	0	0.0013123641614235	ABHD15-AS1	9.89172241568703e-73
5.95035707857827e-19	0.02553789898855	4.2979012853106e-06	0	ABHD17B	1.5284682227744e-14
5.214771610754e-12	0.0278709270386505	0	0.608956942626566	ABHD18	1.25227525460647e-07
1.30724489967438e-26	0.0247527343545726	0.00529131002729533	0.000372332717200663	ABHD2	3.5064229943966e-22
6.56786713577866e-308	0.137374124203251	0	0	ABHD6	2.04812368762122e-303
3.76460357927841e-83	0.0702574230136551	0	0	ABI1	1.11680729782873e-78
3.96781780447038e-53	0.0624768107924989	0	0	ABI2	1.13963662979998e-48
8.491456034082e-258	0.136847480717736	0	0	ABI3BP	2.63778590242723e-253
1.93350815883539e-63	0.12048816882917	0	0	ABL1	5.6323092666875e-59
3.04913174467229e-78	0.0772441790588048	0	9.30931607856511e-07	ABL2	9.01170887137896e-74
7.32556365045097e-111	0.198365444088666	0	0	ABLIM1	2.20946325261252e-106
2.66129109294143e-188	0.0464569091877339	1.29483854982571e-06	0.773311733672538	ABLIM2	8.19092172585515e-184
9.00133888716396e-80	0.0692365115948391	3.03002674828523e-06	0	ABLIM3	2.66295609637859e-75
1.52163888260232e-55	0.0542059352813614	0.000135226249954878	0	ABR	4.38901519297814e-51
