Tabula.Muris	Takemon	Ruscetti	Zamudio	Segura	Casella	Basisty
Cd74	1110004F10Rik	MT-ND2	ABCA1	ICAM1	TMEM159	ALDH18A1
Tmsb4x	Abcb1a	L1CAM	AHNAK2	LEP	CHPF2	CDKN2A
B2m	Abcg3	STXBP1	AMPD3	IL1A	SLC9A7	CDKN2B
Rps4x	Acta2	GM2A	BCL2A1	IL1B	PLOD1	ERGIC1
Rps7	Actb	CSTB	BGN	CXCL8	FAM234B	VDAC3
Rpl10	Ada	RHOB	C3	IGFBP2	DHRS7	FLII
Rps19	Aebp1	KRT8	CCL3	IL6	SRPX	TOMM70A
Rps13	Aida	MUC1	CCL3L3	IL11	SRPX2	VDAC1
Rpl12	Akr1b8	DDR1	CD68	CSF2	TNFSF13B	GDF15
Rplp0	Akr1c13	CLU	CLMP	PLAUR	PDLIM1	GPX1
H2-Ab1	Akt1	GAS6	COL6A1	VEGFA	ELMOD1	IDH2
Ly6e	Alcam	IL6	COL6A2	CXCL1	CCND3	ATL3
Rpl13a	Aldh18a1	NFKB2	COLEC12	IGFBP4	TMEM30A	SPON1
Rps3a	Aldh1a2	CX3CL1	CXCL1	IGFBP7	STAT1	OSTF1
H2-D1	Aldh2	CCL2	CXCL3	FGF2	RND3	ARPC5L
Rps15a	Anxa1	NFE2L2	CXCL5	FGF7	TMEM59	ATP6V0A1
Rpl17	Anxa3	SERPINE1	CXCL6	IGFBP6	SARAF	RHOC
Rps9	Apbb1ip	CXCL11	DUSP4	MMP1	SLCO2B1	CLU
Rps6	Apob	ACVRL1	DUSP6	MMP3	ARRDC4	VDAC2
Rpsa	Apoe	PVR	EREG	MMP10	PAM	LARS
	Arhgap25	CD82	FAM214B	PGF	WDR78	ACADM
	Arhgdib	PLAU	FGF7	CCL2	CLSTN2	SNRPB
	Arpc1b	IL15	GJA1	CCL5	WDR63	SNRPN
	Arpc2	SGMS2	IL1B	CXCL5	NCSTN	TNFAIP8
	Arrb2	ATP2C1	IL6	TIMP2	SLC16A14	HBA1
	Bcam	CD40	LGALS3BP	TNFRSF10C	GPR155	CKM
	Bgn	BST2	MMP2	CCL20	CLDN1	HMGA1
	Bin1	ITGA5	MYO1F	AXL	JCAD	TGM2
	Bin2	HIF1A	NAIP	GDNF	BLCAP	TUBB1
	C1qa	ATP2A2	OAF	PLK3	FILIP1L	TUBB2A
	C1qb	CSF1	OSMR	SLC16A3	TAP1	EEF1A1
	C1qc	IGFBP7	PDPN	TSPAN13	TNFRSF10C	XPNPEP3
	C3	KLF6	PHLDA1	CCND1	SAMD9L	TUBA1A
	C4b	IFNAR1	PILRA	P4HA2	SMOC3	TUBB4B
	C7	PSEN1	PLAT	SLC10A3	POFUT2	GALE
	Cacna2d1	TAPBP	PTGS2	TSPAN13	KIAA1671	CANX
	Cald1	IRF1	PTPRE	CCND1	LRP10	PKM
	Cald1	IL1R1	RHOB	P4HA2	BMS1P9	USP9X
	Calm2	NAMPT	RNF149	SLC10A3	MT-TA	RPS11
	Camk1	CXCL10	SEMA3C	ZBTB7A	MT-TN	TUBB6
	Camk1d	IL15RA	SEZ6L2	SCOC	MT-TC	IGFBP2
	Capn5	IFNGR1	SLC6A8	UFM1	MT-TY	CYB5R3
	Capzb	TNFRSF9	SQRDL	B4GALT7	DIO2	ASPH
	Casp1	HLA-C	TIMP1	ADADVL	MAP4K3-DT	TUBA4B
	Cbr3	HLA-B	TM4SF1	POFUT2	AC002480.1	GYS1
	Cd302	HLA-A	TNFAIP6	TAF13	LINC02154	SLC25A24
	Cd74	TAP1	TNFRSF1B	NOL3	TM4SF1-AS1	DYNC1H1
