Li_eGFR_500	Li_UACR_500	Li_eGFR_Monogenic	Li_UACR_Monogenic	Sheng_eGFR	Sheng_SBP	Sheng_Kidney_Function	Cippa_Acute_Injury	Cippa_Acute_Early_TF	Cippa_Acute_Mouse_Overlap	Cippa_Late_Fibrosis	Cippa_Late_Recovery	Cippa_Mid_Acute	Cippa_Late	Cippa_Late_Mouse_Overlap	Cippa_Late_TF	Cippa_Fibrosis_Branch	Cippa_Acute_Human_Specific	Cippa_Late_Human_Specific
PTPRO	ADAMTS6	PTPRO	CUBN	KDM1A	RAD52	ASIC1	DDIT3	FOS	FOSB	CA3	PRDX5	CD59	S100A11	DCN	TP53	MMP7	ANKRD37	TNNC2
MEG3	CEACAM6	UMOD	COL4A3	PHTF2	PHTF2	TSPAN33	FOSB	FOSB	ATF3	SFRP2	HINT1	HSP90B1	CCL19	DPT	EGFR	A2M	PPP1R15B	NOV
TCF21	CYP4A22	PKHD1	DLL4	SLC6A13	CLCN6	CLCN6	FOS	ATF3	FOS	TNNC2	COX4I1	HMGN3	CD63	SERPING1	TOP2B	VCAM1	GEM	ACKR1
RGS5	CSPG4	LRP2	MUC1	CPS1	CEP68	GCDH	DUSP1	JUN	ZFP36	DPT	HSP90AA1	ATP6V1G1	DAD1	MFAP4	POLR2A	MFAP4	C8orf4	OGN
NDUFA4L2	LGI4	CLCNKB	HOXA13	RRAGD	MAP4	TRIM6	KLF6	EGR1	KLF4	COL1A1	TXN2	HSPA5	SERPING1	TMSB10	POLR2B	PIGR	DUSP6	FHL1
TGFBR2	PRRX1	CLCNKA	COL4A3	FBXO42	PKN2	STYXL1	ATF3	EGR2	DUSP1	CCDC80	COX6B1	BICC1	CLU	LUM	POLR1B	SERPING1	CLK1	TNFAIP6
SPC25	AIF1	PKHD1	COL4A4	SPATA7	SMARCD1	AGT	KLF4	KLF4	BTG2	COL1A2	GHITM	ARID5B	ANXA5	MGP	HDAC1	HMGCS2	AC007906.2	MYOZ1
CYP4A22	CYP1A1	SLC34A1	MUC1	WDR37	ROGDI	FGF5	ZFP36	IL6	JUN	NOV	DBI	WFDC2	ACTG1	MMP2	ESR1	RNASE1	TSC22D1	COL14A1
CLNK	ISLR	COL4A3	TNXB	ITIH4	IFT80	ACE	EGR1	NR4A2	DDIT3	COL3A1	LAMTOR5	IL32	H3F3B	TMSB4X	EP300	CD74	RGS16	PI16
MYH11	CEACAM7	DLL4	MUC1	DIP2B	DDHD2	PGAP3	BTG2	NR4A1	IER2	ACKR1	SOD1	SDC4	RACK1	VIM	MAPK14	C7	KLF2	C1QTNF3
CSPG4	CEACAM5	CENPF	COL4A4	MPPED2	ARVCF	SMDT1	RHOB	IFNG	CCNL1	OGN	METTL7A	EFNA1	MYL12B	CCDC80	MAPK1	TXNIP	KLF10	CAPN6
PTGDS	SLC22A7	BSND	PRKCD	WIPI1	CDKL1	SLC30A4	JUN	JUNB	JUND	PDGFRL	NDUFB9	TNFRSF11B	SRP14	PDGFRL	POLR2C	TIMP1	ARL5B	HAVCR1
MRGPRF	TRIM54	MUC1	PRKCD	TESK2	PIK3CG	GDF9	DNAJB1	ZFP36	BHLHE40	MTCO2P12	ELOB	MYOF	PLP2	S100A6	CREBBP	TAGLN2	NFKBIA	LCN2
LHX1	NUSAP1	COL4A3	TNXB	ALDH3A2	OCIAD1	GAB2	JUND	EGR3	DNAJB1	FHL1	COX14	ENO1	DSTN	APOE	STAT3	PSAP	NCOA7	FABP4
KNG1	SERPINF1	CLCNKB	COL4A4	P4HA2	ASIC1	ERI1	AC020916.1	MYC	CSRNP1	TNFAIP6	MPC2	TMEM59	EIF1	FGL2	POLR1C	ADGRF5	NR0B2	IGF2
TNNT3	NTF4	COL4A4	TNXB	NT5C2	STRN	GCDH	IER2	EGR4	RHOB	CTSK	NDUFA8	ITGB6	RPL3	CD74	POLR1A	CA2	RGS2	ASPN
IGFBP5	NOTCH4	CASR	AFF4	ITCH	CD46	MANBA	BHLHE40	FOSL1	KLF6	MYOZ1	ATP5L	SLPI	PSME1	CD44	NFKB1	CLU	B3GNT5	VCAN
IGF2	MAG	CYP17A1	ASXL1	CDC14A	APOA1	TRIM6	NFKBIZ	KLF6	EGR1	COL14A1	SDHD	C8orf4	RPS6	EMP3	PTEN	ARHGDIB	HES1	LTF
MGP	MCAM	MUC1	DLL4	EPB41L3	SGIP1	ACE	JUNB	IRF1	PPP1R15A	PI16	COX6A1	HINT1	GSTP1	ISLR	ENO1	SLC26A7	MYADM	APOBEC2
PRRX1	CUBN	SLC7A9	CHD7	TAF9	UBN1	PPM1E	GDF15	JUND	GDF15	C1QTNF3	ATP5G1	COA3	RHOA	BGN	POLR3A	SPARC	PNRC1	COL6A3
INA	KCNN3	CD81	CYP11A1	B4GALT1	HOXB3	SMDT1	GADD45B	BTG2	NFKBIZ	IGLV3.25	CA12	HAVCR1	ATP6V0E1	FXYD5	HDAC2	B2M	RGS1	SLC34A2
CYP1A1	TNNI1	SOX18	NR3C2	ASAP3	TBX2	SMDT1	PPP1R15A	DDIT3	DUSP5	CAPN6	RNF181	SLC34A2	SOX4	ANXA1	AR	S100A11	C10orf10	FSTL1
ISLR	TPX2	SHH	CUBN	XYLB	HIVEP3	DPEP1	C8orf4	CDKN1A	GADD45B	HAVCR1	ATP5J2	FLRT3	TIMP1	CTSS	PA2G4	SCIN	TOB1	TNNI1
MFAP4	TYRO3	SOX18	STRA6	MAP1LC3A	INO80	GAB2	AC007906.2	MAFF	APOLD1	FBN1	SARAF	PPP2R1A	TMEM14C	AXL	MAPK8	SCNN1G	NUAK2	FMOD
SLC22A7	EMP3	CLCNKA	DLL4	IQCH	CHAC1	SPATA7	CXCL2	KLF2	TRIB1	LCN2	AKR1A1	ANAPC13	RPL19	PLA2G12B	HDAC3	CDA	LETM2	PDLIM3
ACSM2A	HRC	DCDC2	LYZ	LACTB	SHBG	GCDH	ANKRD37	SNAI1	PMAIP1	FABP4	ATP5E	SOD2	CNBP	SLPI	ABL1	MGP	C11orf96	IGF1
UMOD	DUOXA1	DCDC2	SCARB2	ERI1	CDC16	SLC2A4RG	CYR61	NR0B2	JUNB	CXCL1	UQCR10	TRAF3IP2	BEX3	SERPINF1	EIF5B	IL32	ODF3L1	CAV1
EPS8L3	ADAM15	WNK1	TNXB	GCDH	DDB2	IRF5	DNAJB4	NR4A3	HBEGF	IGF2	NDUFB3	MTCO2P12	RPLP0	KRT19	EEF1A1	HEPACAM2	IRF1	MMP7
SLC7A13	FXYD1	MYH9	SCARB2	GRB10	TMEM60	AGT	CSRNP1	OSR2	RIPK4	ASPN	PFN2	ASAH1	CALM2	CCL2	POLR2F	CPVL	CXCL3	SAA1
ATP6V0D2	FOXS1	SLC37A4	ETFA	PIP5K1B	RABEPK	ACE	KLF2	KLF10	MCL1	MMP2	ACAA2	SPP1	RPL36AL	TAGLN	CREB1	TIMP3	LDLR	ANKRD2
TRIM54	HLA-DRB1	MUC1	MUC1	LARP4B	NOV	SMDT1	PMAIP1	CEBPD	DNAJB4	ISLR	PCBD1	CDH6	IFITM2	CD3D	STAT1	CDH6	NEDD9	GC
C1orf64	ACOXL	PKHD1	ASXL1	DHRS11	TMEM180	OGDHL	SNORD14E	SOX9	NR4A2	VCAN	SNHG8	CPM	PKM	CTSK	RELA	TSPAN1	CD83	CRABP2
ATP6V0D2	SFTPB	COL4A4	IFT172	FBXL20	ARL3	NOL8	SERPINE1	CEBPB	NFIL3	LTF	NDUFA1	TSPAN8	TAGLN2	ACTA2	PDCD11	APP	CLDN14	ANGPTL2
NUSAP1	MRVI1	DGKE	CHD7	RAI1	FGF5	GSTA1	HBEGF	TNFAIP3	EGR2	APOBEC2	TIMM10	LCN2	LAPTM4A	CD53	TBP	LAPTM4A	ARL4A	ITGB6
NTF4	HLA-DRB1	EHHADH	PRKCD	MANBA	NME7	TMEM165	ZNF165	SRF	PIM1	SLPI	NDUFC1	FUT11	HNRNPA2B1	IL2RG	KDM2A	PIGT	CKS2	PROM1
GATA5	FXYD1	FAM20A	AFF4	UBE2D3	CRIP3	TSPAN33	TOB1	HIST1H2BG	CYR61	COL6A3	FKBP2	CDH16	RPL5	SDC1	SMARCA2	SLC35F6	SNAI1	CCL20
HBB	TNNT2	FGF10	STRA6	ALDH2	IRAK1BP1	SEC23B	PNRC1	IL1B	SLC2A3	VWF	NDUFB2	VTCN1	RPL10A	VCAM1	RNPS1	TUBA1A	CHORDC1	LAMC2
ACSM2B	VIM	SHH	AFF4	KNG1	WHSC1L1	ERI1	MIR616	GATA6	SLC25A25	SLC34A2	TSTD1	PDHA1	RPL29	SFRP2	PRKCA	SCPEP1	CD69	WFDC2
MCAM	KRTAP5-9	LAMB2	COL4A4	TFDP2	ADM	ACE	SLC2A3	NFKBIA	WEE1	FSTL1	COX7A2	LYG1	EDF1	SPARC	PPARA	GLUL	TSC22D3	EMP1
SLC6A6	SEMA3G	CYP24A1	CUBN	TANC1	SIDT2	PGAP3	HBB	FOXJ1	EGR3	NNMT	SDHB	PRDX2	IFITM3	LCP1	SMAD3	SERPINA5	CEBPB	CPE
PLAC9	NOTCH4	MYCN	STRA6	NRBP1	FER	TCEA3	WEE1	BMP2	NR4A1	TNNI1	COX7C	STRAP	AKR1B1	ABI3BP	AKT2	MAGED2	FILIP1L	PIGR
KCNN3	EVX1	ABCC6	PRKCD	LANCL1	TMEM87B	SLC6A13	CKS2	HSF2	TNFAIP3	TPM2	NDUFA2	ABRACL	HNRNPF	SPARCL1	SRSF5	S100A4	CITED2	TIMP1
LDB3	HLA-B	PRKCD	MUC1	AGMAT	UBASH3B	GAB2	APOLD1	FOSL2	SERTAD1	FMOD	EBP	NARS	EIF3I	ANTXR1	PPARG	UBE2L6	TNFRSF10D	AGR2
TMEM204	HLA-DRA	SC5D	FANCA	APH1A	ADK	ERI1	ZFP36L1	KLF5	IFRD1	PDLIM3	NDUFB11	AP1S3	ANXA2	CCND2	POLR2H	DDOST	LINC00675	PMP22
HBD	STC1	PRKCD	IFT172	SORBS3	MED8	GCDH	GEM	BATF3	MAFF	C3	COX8A	DYRK4	NOP10	ARHGDIB	SRSF1	PLIN2	ICAM1	MYADM
TNNI1	HLA-DPA1	KCTD1	STRA6	PDLIM2	ACE	TRIM6	CD83	BCL6	CXCL2	IGF1	ACMSD	ATP1A1	SYPL1	C3	SNRPB	ANXA5	MT1A	CAVIN1
HJURP	ATP4A	EFEMP2	AFF4	TBX2	C1orf86	AGT	PPP1R15B	REL	SERPINE1	ABI3BP	TPT1	UCHL1	PPIB	S100A4	MAPK13	PGD	IGFBP1	ELF3
SLC9A3R2	BUB1	CYP24A1	PRKCD	BCL2L14	CDC42EP3	ACE	CD69	ATF4	SLC20A1	CAV1	TMEM141	ALAS1	TNFSF10	CNN1	SNRPD1	PKM	ADAMTS4	QPCT
SYT8	HLA-DRB1	CYP24A1	MUC1	ACVR2A	CCNYL1	ADRA2C	HBA2	BHLHE40	CDKN1A	FN1	TIMM8B	RC3H2	B4GALT1	ARPC1B	POLR2J	C1S	ANXA1	CDH6
TYRO3	HLA-C	CLCNKA	SCARB2	NT5C3A	RYK	NOL8	TRIB1	CEBPG	MAP3K8	MMP7	NDUFB7	NEK11	CAPN6	COL1A1	ATM	NCSTN	HIST1H2BC	SOX4
