name.l1	name.l2	Freq.KBR
CNT	CNT	3000
CNT	cycCNT	68
DCT	cycDCT	75
DCT	DCT	3000
EC	cycEC	105
EC	EC-AEA	744
EC	EC-AVR	3000
EC	EC-DVR	3000
EC	EC-GC	2274
EC	EC-LYM	350
EC	EC-PTC	3000
FIB	aFIB	1468
FIB	cycMYOF	66
FIB	FIB	3000
FIB	M-FIB	3000
FIB	MYOF	2045
IC	C-IC-A	3000
IC	IC-B	1942
IC	M-IC-A	1636
IC	tPC-IC	430
IMM	cDC	185
IMM	cycMNP	139
IMM	MAC-M2	2685
IMM	MAST	335
IMM	MDC	1920
IMM	ncMON	596
IMM	NKT	557
IMM	pDC	75
IMM	PL	638
IMM	T	2986
PC	C-PC	3000
PC	IMCD	3000
PC	M-PC	2694
PEC	PEC	1425
POD	POD	2328
PT	aPT	3000
PT	cycPT	386
PT	PT-S1	3000
PT	PT-S2	3000
PT	PT-S3	3000
TAL	aTAL1	3000
TAL	C-TAL	3000
TAL	M-TAL	3000
TAL	MD	2064
TL	ATL	1803
TL	DTL1	3000
TL	DTL2	2573
TL	DTL3	1495
VSM/P	MC	394
VSM/P	REN	61
VSM/P	VSMC	1146
VSM/P	VSMC/P	2033
